feature,feature_scope,rule,accuracy,predicted_positive,support,benign_min,benign_max,injected_min,injected_max
avg_chunk_len,forbidden_metadata,gt_zero_means_injected,1.0,973,2919,0.0,0.0,1.0,84.25
label,forbidden_metadata,gt_zero_means_injected,1.0,973,2919,0.0,0.0,1.0,1.0
num_chunks,forbidden_metadata,gt_zero_means_injected,1.0,973,2919,0.0,0.0,4.0,217.0
artifact_wrapper,forbidden_metadata,gt_zero_means_injected,0.7533401849948612,253,2919,0.0,0.0,0.0,1.0
artifact_bmc_count,trainable_feature,gt_zero_means_injected,0.6666666666666666,506,2919,0.0,1.0,0.0,1.0
artifact_emc_count,trainable_feature,gt_zero_means_injected,0.6666666666666666,506,2919,0.0,1.0,0.0,1.0
avg_stream_length_bytes,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,885.5,21032.0,897.5,17035.0
bbox_area_mean,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.00020618094776925298,0.01206774002844024,0.0001883203839694755,0.011955080898682276
bbox_area_std,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.00045936974122152724,0.005741041673540462,0.0004422626021684169,0.00539980642119184
char_count_difference,trainable_feature,gt_zero_means_injected,0.6666666666666666,0,2919,0.0,0.0,0.0,0.0
char_mismatch_ratio,trainable_feature,gt_zero_means_injected,0.6666666666666666,0,2919,0.0,0.0,0.0,0.0
extractor_char_count,trainable_feature,gt_zero_means_injected,0.6666666666666666,0,2919,0.0,0.0,0.0,0.0
frac_render_mode_3,trainable_feature,gt_zero_means_injected,0.6666666666666666,610,2919,0.0,1.0,0.0,1.0
frac_small_font_objects,trainable_feature,gt_zero_means_injected,0.6666666666666666,506,2919,0.0,0.9353233830845771,0.0,0.9400921658986175
frac_text_outside_page,trainable_feature,gt_zero_means_injected,0.6666666666666666,1946,2919,0.0,0.9303482587064676,0.05555555555555555,0.9386792452830188
frac_white_text,trainable_feature,gt_zero_means_injected,0.6666666666666666,382,2919,0.0,0.9326923076923077,0.0,0.9377777777777778
has_artifact_wrapper,trainable_feature,gt_zero_means_injected,0.6666666666666666,506,2919,0.0,1.0,0.0,1.0
injection_cluster_score,trainable_feature,gt_zero_means_injected,0.6666666666666666,1946,2919,0.0,0.9999634313759438,0.0009520389294904527,0.9999634313759438
max_abs_y,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.0023756078289581366,12.626262626262626,0.004537410953310041,12.626262626262626
max_distance_from_page_center,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.7053234182806237,19.948626622444728,0.7053234182806237,19.948626622444728
max_font_size,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,14.0,18.0,14.0,18.0
max_stream_length_bytes,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1467.0,21032.0,1467.0,17035.0
mean_distance_from_page_center,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.6743325982881921,18.48918431989488,0.6831894669990168,18.704299249890624
mean_font_size,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1.5142857142857145,12.636363636363637,1.4712962962962963,12.466666666666667
mean_streams_per_page,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1.0,2.0,1.0,2.0
min_font_size,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,0.8,11.5,0.8,11.5
num_content_streams_total,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1.0,2.0,1.0,2.0
num_font_lt_1,trainable_feature,gt_zero_means_injected,0.6666666666666666,132,2919,0.0,188.0,0.0,210.0
num_font_lt_2,trainable_feature,gt_zero_means_injected,0.6666666666666666,254,2919,0.0,188.0,0.0,210.0
num_font_lt_3,trainable_feature,gt_zero_means_injected,0.6666666666666666,506,2919,0.0,194.0,0.0,210.0
num_nonstandard_render_modes,trainable_feature,gt_zero_means_injected,0.6666666666666666,0,2919,0.0,0.0,0.0,0.0
num_pages,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1.0,1.0,1.0,1.0
num_render_mode_3,trainable_feature,gt_zero_means_injected,0.6666666666666666,610,2919,0.0,201.0,0.0,234.0
num_stream_objects,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,1.0,2.0,1.0,2.0
num_text_negative_coords,trainable_feature,gt_zero_means_injected,0.6666666666666666,1844,2919,0.0,193.0,0.0,210.0
num_text_objects,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,11.0,230.0,15.0,252.0
num_text_outside_page_bounds,trainable_feature,gt_zero_means_injected,0.6666666666666666,1946,2919,0.0,194.0,3.0,217.0
num_text_show_ops,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,11.0,230.0,15.0,252.0
num_white_text,trainable_feature,gt_zero_means_injected,0.6666666666666666,382,2919,0.0,194.0,0.0,211.0
page_height,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,792.0,841.8898,792.0,841.8898
page_width,trainable_feature,lte_zero_means_injected,0.6666666666666666,0,2919,595.2756,612.0,595.2756,612.0
